F148W,F169M,F172M,N219M,N279N,U,B,V,R,I,J,H,K,FUV,NUV,age,Z
5.90075E-20,5.47158E-20,5.12133E-20,4.50979E-20,3.38329E-20,3.08E-20,3.86E-20,3.41E-20,3.16E-20,2.78E-20,2.24E-20,1.85E-20,9.10E-21,5.68E-20,4.24E-20,1.00E-04,6.70E+00
4.71982E-20,4.38961E-20,4.11661E-20,3.62554E-20,2.72305E-20,2.33E-20,2.69E-20,2.29E-20,2.06E-20,1.78E-20,1.42E-20,1.19E-20,4.85E-21,4.55E-20,3.41E-20,1.00E-04,6.80E+00
3.77457E-20,3.50367E-20,3.28799E-20,2.89891E-20,2.1559E-20,1.74E-20,1.83E-20,1.47E-20,1.24E-20,1.01E-20,7.09E-21,5.58E-21,2.20E-21,3.64E-20,2.72E-20,1.00E-04,6.90E+00
2.84083E-20,2.64011E-20,2.48607E-20,2.20414E-20,1.66062E-20,1.34E-20,1.38E-20,1.08E-20,8.92E-21,7.12E-21,4.71E-21,3.59E-21,1.34E-21,2.74E-20,2.08E-20,1.00E-04,7.00E+00
2.13286E-20,1.99181E-20,1.88495E-20,1.68438E-20,1.27919E-20,1.03E-20,1.05E-20,8.09E-21,6.43E-21,4.96E-21,2.99E-21,2.12E-21,7.14E-22,2.06E-20,1.59E-20,1.00E-04,7.10E+00
1.56671E-20,1.47074E-20,1.39532E-20,1.25035E-20,9.54335E-21,7.78E-21,7.99E-21,6.10E-21,4.81E-21,3.69E-21,2.18E-21,1.53E-21,4.68E-22,1.52E-20,1.19E-20,1.00E-04,7.20E+00
1.19412E-20,1.12412E-20,1.06829E-20,9.62161E-21,7.50651E-21,6.27E-21,6.59E-21,5.08E-21,4.02E-21,3.08E-21,1.82E-21,1.27E-21,3.53E-22,1.16E-20,9.18E-21,1.00E-04,7.30E+00
8.88141E-21,8.33427E-21,7.91378E-21,7.18015E-21,5.72576E-21,4.92E-21,5.36E-21,4.16E-21,3.29E-21,2.52E-21,1.48E-21,1.02E-21,2.65E-22,8.61E-21,6.90E-21,1.00E-04,7.40E+00
7.09557E-21,6.68474E-21,6.35152E-21,5.78266E-21,4.66268E-21,4.05E-21,4.63E-21,3.65E-21,2.91E-21,2.24E-21,1.34E-21,9.35E-22,1.98E-22,6.90E-21,5.57E-21,1.00E-04,7.50E+00
5.81544E-21,5.50856E-21,5.25002E-21,4.82539E-21,3.96494E-21,3.54E-21,4.28E-21,3.43E-21,2.77E-21,2.16E-21,1.34E-21,9.49E-22,1.71E-22,5.67E-21,4.68E-21,1.00E-04,7.60E+00
4.61102E-21,4.39546E-21,4.20608E-21,3.91046E-21,3.28254E-21,3.02E-21,3.78E-21,3.07E-21,2.51E-21,1.98E-21,1.27E-21,9.30E-22,1.67E-22,4.51E-21,3.81E-21,1.00E-04,7.70E+00
