RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Field,Seq,Source_ID,f,p,c,RAJ2000,DEJ2000,U_vega,B_vega,V_vega,R_vega,I_vega,J_vega,H_vega,K_vega,NUV,NUV_err,FUV,FUV_err,Vr,e_Vr,E_B-V_1,e_E_B-V_1,E_B-V_2,r_E_B-V_2,__Fe_H_,Hbet,x,y,Rp,SimbadName,Separation
10.64288715,5.19E-05,41.21254372,2.66E-05,22.05891203,0.089160939,21.92750634,0.136666199,21.14089944,0.133016474,20.22952535,0.131450231,22.42315995,0.141866484,1,?,B114,1,0,1,10.64292917,41.21251389,18.03,17.7,17.28,16.57,15.98,14.897,14.204,13.738,20.936,0.074,,,-271,20,0.16,0.02,0.19,0,,,-3.84,-0.61,0.89,Bol 114,0.156467379
10.64335009,1.40E-04,41.23383929,2.60E-04,99.99,99.99,23.57205477,0.285731421,22.68607008,0.264340938,21.77469599,0.263556279,24.04737661,0.295719643,1,?,B115,1,0,1,10.64335,41.23385278,17.88,17.05,16.03,15.44,14.57,13.444,12.654,12.428,,,,,-549,22,0.12,0.01,0.18,0,0.06,0.12,-2.82,0.16,0.64,Bol 115,0.048574305
10.65040362,2.19E-04,41.29312548,1.59E-04,24.74606337,0.202672231,23.3066019,0.253251607,22.57970896,0.251914302,21.66833488,0.251090812,24.1634511,0.311832687,1,?,B119,1,0,1,10.6503375,41.29316389,18.784,18.351,17.408,16.812,16.177,14.832,14.027,14.18,,,,,-310,11,0.14,0.02,0.21,0,-0.25,1.65,0.18,2.1,0.48,Bol 119,0.226064489
10.66936129,2.58E-04,41.17590724,2.83E-04,24.80912109,0.207939822,99.99,99.99,23.66466193,0.412847685,22.75328784,0.412345719,99.99,99.99,1,?,B123,1,0,1,10.66944583,41.17591944,18.632,18.231,17.416,16.754,16.126,15.188,14.615,14.554,,,,,-368,12,0.3,0.03,0.2,0,,,-4.84,-2.91,1.29,Bol 123,0.233249463
10.67261325,2.55E-05,41.25659449,2.89E-05,20.49294154,0.07499958,20.44823726,0.07399132,20.28782967,0.093159561,19.37645558,0.090909211,20.73633524,0.069276608,1,?,B124,1,0,1,10.67266667,41.25657222,16.094,15.589,14.777,14.051,13.63,12.189,11.414,11.487,19.64,0.21,20.617,0.188,70,13,0.04,0.01,0.17,0,,,-0.93,-0.04,0.21,Bol 124,0.165286499
10.67611779,1.28E-05,41.09202743,1.21E-04,21.1723665,0.079061951,20.94286694,0.089981959,20.53987359,0.103206437,19.6284995,0.101179788,21.21197965,0.084017984,1,?,B125,1,0,1,10.67608333,41.09193056,17.327,17.19,16.444,15.97,15.386,14.948,14.17,14.489,20.189,0.044,21.143,0.113,-641,12,0.05,0.02,0.11,0,-1.99,3.21,-8.62,-6.25,2.43,Bol 125,0.361052131
10.68203226,3.08E-05,41.21192423,1.76E-05,21.1210769,0.078668355,21.06514529,0.094609587,21.54295687,0.158484953,20.63158278,0.157172711,21.21428894,0.084098665,1,?,B126,1,0,1,10.68200417,41.21186111,18.059,17.924,17.149,16.662,16.168,15.668,14.796,14.725,20.712,0.066,21.306,0.098,-184,13,0.04,0.01,0.13,0,-1.48,3.65,-2.79,-2.03,0.79,Bol 126,0.239621248
10.68538326,4.29E-05,41.24485321,2.57E-05,20.69635971,0.075981711,20.52053915,0.076076229,20.13946783,0.087831513,19.22809374,0.085440947,21.01376401,0.077433848,1,?,B127,1,0,1,10.68540833,41.24483611,15.756,14.966,14.467,13.292,13.23,12.217,11.509,11.38,19.388,0.083,20.661,0.113,-470,9,0.09,0.02,0.2,0,-0.54,1.68,-1.13,-0.93,0.33,Bol 127,0.091615899
10.69893616,1.33E-04,41.18704917,2.60E-04,25.89434697,0.330239363,23.62120389,0.292198646,23.73376234,0.426109553,22.82238825,0.425623228,24.86421926,0.429875556,1,?,B128,1,0,1,10.69915,41.18715278,18.445,17.89,16.88,16.34,15.76,14.7,14.13,13.861,,,,,-379,9,0.15,0.01,0.24,2,,,-3.48,-3.55,1.13,Bol 128,0.689016369
10.71160218,1.63E-05,41.28536698,5.08E-05,20.7015999,0.076009338,20.46488295,0.074464169,20.38221756,0.096770128,19.47084348,0.0946057,20.90532069,0.07410473,1,?,B131,1,0,1,10.71167083,41.28542222,16.619,16.22,15.342,14.8,14.279,13.37,,12.62,19.891,0.112,20.81,0.126,-424,28,0.12,0.04,0.18,0,-0.15,1.6,1.51,-0.36,0.35,Bol 131,0.272104861
