Source_ID,f275w_ul,f275w_vega,f275w_err_orig,f275w_err,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,F148W_AB,F148W_err_orig,F148W_err,F172M_AB,F172M_err_orig,F172M_err,N219M_AB,N219M_err_orig,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err_1,F169M_err,Separation_1,Region
6564,,17.54,0.044584837,0.048865199,,16.2,0.038844764,0.04369114,,15.44,0.01,0.02236068,,13.74,0.01,0.02236068,,12.95,0.01,0.050990195,,12.2,0.01,0.050990195,21.13815522,0.078797571,0.09332233,20.67117831,0.080687007,0.128492774,20.29948648,0.093595953,0.136967888,,,20.63427923,0.066561725,0.120126863,0.151503143,1
6947,,17.81,0.02,0.028284271,,16.66,0.038844764,0.04369114,,16.06,0.01,0.02236068,,14.42,0.01,0.02236068,,13.71,0.01,0.050990195,,12.99,0.03,0.058309519,21.27733472,0.079921013,0.09427284,20.88856806,0.088018185,0.133218621,20.409731,0.097856179,0.139913658,,,20.78338687,0.070578357,0.122398139,0.269506341,1
1068A,,17.97,0.01,0.02236068,,17.53,0.06,0.063245553,,17.93,0.03,0.036055513,,16.89,0.03,0.036055513,,16.49,0.05,0.070710678,,16.17,0.09,0.102956301,20.0111136,0.030395653,0.058514064,20.83074438,0.101319758,0.142357625,20.43502279,0.09914143,0.140815564,,,,,,0.242403253,2
1148A,,17.59,0.02,0.028284271,,17.79,0.02,0.028284271,,19.02,0.04,0.04472136,,19.03,0.3,0.300665928,>,17.99,0.1503876,0.15848164,>,17.08,0.15390909,0.161827093,19.59989271,0.061088447,0.07894174,19.35833057,0.073783657,0.124274004,19.23495938,0.066942883,0.120338479,,,,,,0.093013966,7
1292A,,19.24,0.03,0.036055513,,19.02,0.02,0.028284271,,19.41,0.01,0.02236068,,18.81,0.19,0.191049732,,18.44,0.1,0.111803399,,18.05,0.28,0.284429253,21.29987857,0.102256384,0.113826043,20.90503953,0.130001725,0.164013562,22.69527241,0.257939689,0.276645772,,,,,,0.241553859,7
1337A,,16.66,0.01,0.02236068,,16.98,0.01,0.02236068,,18.33,0.03,0.036055513,,18.14,0.08,0.082462113,,16.96,0.11,0.12083046,,16.01,0.1,0.111803399,18.44539756,0.025458377,0.05610819,18.70163402,0.051048306,0.112276131,20.14593567,0.087994867,0.133203215,,,,,,0.302929316,2
1698A,,17.58,0.01,0.02236068,,17.94,0.01,0.02236068,,19.33,0.04,0.04472136,,19.38,0.09,0.092195445,>,19.41,0.1503876,0.15848164,>,18.36,0.15390909,0.161827093,19.29380807,0.057406355,0.076128113,18.85745621,0.064051353,0.118754267,18.93345489,0.061913695,0.117615074,,,,,,0.355245187,7
1803A,,17.79,0.04,0.04472136,,17.82,0.05,0.053851648,,18.91,0.03,0.036055513,,18.66,0.1,0.10198039,>,17.14,0.1503876,0.15848164,>,16.29,0.15390909,0.161827093,19.59094618,0.02842534,0.057515215,19.96043777,0.073147722,0.123897495,19.8630343,0.078579317,0.12717983,,,,,,0.096470176,2
2481A,,15.93,0.05,0.053851648,,16.3,0.05,0.053851648,,17.89,0.05,0.053851648,,18.22,0.07,0.072801099,>,17.9,0.1503876,0.15848164,>,16.97,0.15390909,0.161827093,18.09224125,0.048976882,0.069990963,17.90615252,0.052601658,0.11299086,19.31799531,0.068511093,0.121217861,,,,,,0.284913864,7
2511A,,16.9,0.02,0.028284271,,17.11,0.03,0.036055513,,18.41,0.05,0.053851648,,18.33,0.11,0.111803399,>,17.66,0.1503876,0.15848164,>,17.24,0.15390909,0.161827093,20.96108167,0.09043104,0.10333331,21.2863022,0.152471046,0.18233875,20.72945984,0.11133256,0.149649387,,,,,,0.879872318,7
2603A,,17.65,0.01,0.02236068,,17.86,0.01,0.02236068,,19.17,0.02,0.028284271,,19.19,0.17,0.171172428,>,18.73,0.1503876,0.15848164,>,17.73,0.15390909,0.161827093,19.56359305,0.060608587,0.078570992,19.29544345,0.072386117,0.123449382,21.7718001,0.171632134,0.198639345,,,,,,0.277108193,7
2798A,,16.54,0.01,0.02236068,,16.99,0.01,0.02236068,,18.56,0.04,0.04472136,,18.7,0.17,0.171172428,>,18.88,0.1503876,0.15848164,>,17.81,0.15390909,0.161827093,17.88778294,0.024775627,0.055801718,18.43143452,0.048265603,0.11103859,17.98717962,0.04291718,0.108820422,,,,,,0.283273979,2
3014A,,19.23,0.03,0.036055513,,19.48,0.04,0.04472136,,20.72,0.13,0.131529464,>,20.02,0.13882075,0.140254057,>,18.76,0.1503876,0.15848164,>,17.82,0.15390909,0.161827093,21.01884471,0.092291709,0.104965516,21.77842387,0.188515359,0.21339644,20.36293819,0.096757102,0.139147177,,,,,,0.159831337,7
3714A,,19.55,0.28,0.280713377,,19.54,0.21,0.210950231,,19.63,0.18,0.181107703,,18.2,0.11,0.111803399,,17.53,0.2,0.206155281,,16.88,0.27,0.274590604,21.62113816,0.046409813,0.068219284,21.65427082,0.142771941,0.174309573,21.30370179,0.144106385,0.175404248,,,,,,0.465189216,2
