F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,Z,log(age)
8.42422E-23,1.0082E-22,1.10311E-22,1.32763E-22,1.79969E-22,1.80E-22,3.15E-22,2.35E-21,1.46E-21,1.79E-21,1.9399E-21,1.00E-03,8.90E+00
5.53278E-23,7.03794E-23,8.06199E-23,1.00439E-22,1.43424E-22,1.44E-22,3.02E-22,2.59E-21,1.61E-21,2.06E-21,2.31927E-21,1.00E-03,9.00E+00
3.06113E-23,4.15451E-23,5.217E-23,6.89389E-23,1.08406E-22,1.09E-22,3.30E-22,3.54E-21,2.19E-21,2.93E-21,3.39692E-21,1.00E-03,9.10E+00
1.51268E-23,2.16937E-23,3.157E-23,4.54936E-23,7.40433E-23,7.43E-23,1.97E-22,1.87E-21,1.16E-21,1.50E-21,1.70487E-21,1.00E-03,9.20E+00
5.87493E-24,8.90176E-24,1.61061E-23,2.74852E-23,5.02653E-23,5.06E-23,1.40E-22,1.28E-21,7.91E-22,9.96E-22,1.09846E-21,1.00E-03,9.30E+00
1.95916E-24,3.21326E-24,7.41035E-24,1.60122E-23,3.41733E-23,3.46E-23,1.07E-22,1.04E-21,6.47E-22,8.18E-22,9.04315E-22,1.00E-03,9.40E+00
8.91644E-25,1.49292E-24,3.80852E-24,9.97971E-24,2.42166E-23,2.47E-23,8.44E-23,8.58E-22,5.33E-22,6.76E-22,7.47101E-22,1.00E-03,9.50E+00
4.22593E-25,7.35708E-25,2.08184E-24,6.64037E-24,1.81001E-23,1.85E-23,6.66E-23,6.95E-22,4.31E-22,5.49E-22,6.07381E-22,1.00E-03,9.60E+00
1.66567E-25,3.27294E-25,1.08051E-24,4.34131E-24,1.28084E-23,1.31E-23,4.07E-23,3.93E-22,2.44E-22,3.02E-22,3.25526E-22,1.00E-03,9.70E+00
1.18545E-25,1.89879E-25,5.21675E-25,2.5297E-24,9.0821E-24,9.46E-24,4.06E-23,4.51E-22,2.80E-22,3.59E-22,3.9707E-22,1.00E-03,9.80E+00
7.35429E-26,1.1082E-25,3.14989E-25,1.88504E-24,7.55997E-24,7.92E-24,3.66E-23,4.18E-22,2.60E-22,3.36E-22,3.75499E-22,1.00E-03,9.90E+00
